kategori,mevzuat_ad?,tarih,son_degisim_tarihi,son_degisim_yontemi,resmi_link,kaynak_url
Kurum Yönetmeliği,,28/04/2015,-,Bulunamad?,https://kms.kaysis.gov.tr/Home/Goster/44467,https://detsis.gov.tr/birim/35955870/35955870/2026-05-20
Kurum Yönetmeliği,,28/09/2016,-,Bulunamad?,https://kms.kaysis.gov.tr/Home/Goster/75857,https://detsis.gov.tr/birim/35955870/35955870/2026-05-20
Kurum Yönetmeliği,,13/03/2014,-,Bulunamad?,https://kms.kaysis.gov.tr/Home/Goster/43265,https://detsis.gov.tr/birim/35955870/35955870/2026-05-20
Kurum Yönetmeliği,,13/04/2022,-,Bulunamad?,https://kms.kaysis.gov.tr/Home/Goster/187671,https://detsis.gov.tr/birim/35955870/35955870/2026-05-20
Kurum Yönetmeliği,,25/02/2001,-,Bulunamad?,https://kms.kaysis.gov.tr/Home/Goster/35814,https://detsis.gov.tr/birim/35955870/35955870/2026-05-20
Kurum Yönetmeliği,,15/06/1997,-,Bulunamad?,https://kms.kaysis.gov.tr/Home/Goster/35813,https://detsis.gov.tr/birim/35955870/35955870/2026-05-20
Kurum Yönetmeliği,,15/08/2020,-,Bulunamad?,https://kms.kaysis.gov.tr/Home/Goster/166975,https://detsis.gov.tr/birim/35955870/35955870/2026-05-20
Kurum Yönetmeliği,,16/09/2008,-,Bulunamad?,https://kms.kaysis.gov.tr/Home/Goster/38618,https://detsis.gov.tr/birim/35955870/35955870/2026-05-20
Kurum Yönetmeliği,,28/02/2005,-,Bulunamad?,https://kms.kaysis.gov.tr/Home/Goster/36425,https://detsis.gov.tr/birim/35955870/35955870/2026-05-20
Kurum Yönetmeliği,,24/11/2014,-,Bulunamad?,https://kms.kaysis.gov.tr/Home/Goster/43990,https://detsis.gov.tr/birim/35955870/35955870/2026-05-20
Kurum Yönetmeliği,,15/11/2015,-,Bulunamad?,https://kms.kaysis.gov.tr/Home/Goster/62505,https://detsis.gov.tr/birim/35955870/35955870/2026-05-20
Kurum Yönetmeliği,,07/01/2019,-,Bulunamad?,https://kms.kaysis.gov.tr/Home/Goster/148799,https://detsis.gov.tr/birim/35955870/35955870/2026-05-20
